,DHd 2016,DHd 2017,DHd 2018,DHd 2019,DHd 2020,DHd 2022,DHd 2023,Mean
regelbasiertes Verfahren,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
direkte Rede,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
3D-Visualisierung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Historische Semantik,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Latein,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Historisch,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Mimikerkennung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Posenerkennung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Visual Computing,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Menschen,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Videos,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Bilder,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Distant Watching,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Quantitative Analyse,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Sprache,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Gender,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Ground Truth Generation,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Zeichnungen,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Praxiserfahrung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
QGIS,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Virtuelle Umgebung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Hieroglyphenschrift,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Rezipientenwirkung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
E-Publishing,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Studie,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Hexenforschung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Stand-off-Markup,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Epigraphik,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Mayakultur,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
TEI-P5,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
ontologische Vernetzung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
komplexes Schriftsystem,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
GitHub,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Multimodal,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Briefeditionen,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
correspSearch,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Reiseberichte,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
vue.js,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
eXist-db,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
neuronale maschinelle Übersetzung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Semantisierung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Arabisch,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Biofeedback,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Shakespeare,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Audio,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Video,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Filter,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Nationalismus,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Kulturanthropologie,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Datenmodelle,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Part-of-Speech-Tagging,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
legacy data,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
datenzentrierte digitale Editionen,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Nonstandardvarietäten,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Netzwerkforschung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
multimodale Analyse,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
statistische Methoden,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
keyword extraction,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
mittelalterliche Urkunden,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Expressionismus,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Lautstärkeanalyse,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Aufbau,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Multimodale Hypertexte,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Digitale Briefedition,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Oral History,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Koran,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
quoteSalute,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Türkei,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Triple-Store,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
topic,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
literature,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Open Space,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Auxiliardaten,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Community-Bildung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Konversationsanalyse,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Property-Graph,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Wissenskonstruktion,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Computerlexikografie,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Abfragewerkzeug,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Heuristik,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Word Embedding,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Digital Storytelling,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Wortfeld,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
SPARQL 1.1,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Linkbase,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Multimodale Repräsentation,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Simultaneitätsstudie,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Versionskontrolle,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Russisch,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Verbundprojekt,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
digitale Sammlung,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Aufbewahren,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Gruß &amp; Kuss,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Kybernetik,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Automatic Text Recognition,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Forschungsumgebungen,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Konservierung,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Koreferenzresolution,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Datenbiographik,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Wissenschaftethik,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
digitale Texte,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Russische Literatur,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Anton Tschechow,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Liebesbrief,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
digitale Dienste,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Transkriptionssoftware,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Wissenschaftspolitik,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Chronik,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Quellenarbeit,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Attribution,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Klassifizierung,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
XQuery,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
reflexive Passagen,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Prosopograpie,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Implementation,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
publizieren,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
multilingual,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
onomasiologische Suche,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
literate programming,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Fehler,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
korpusbasierte Untersuchungen historischer Sprachstufen,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
wissenschaftskommunikation,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Neologie,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Bibelauslegung,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Analyse der Berichterstattung von Unternehmenszusammenschlüssen,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Datenphysikalisierung,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Ausstellung,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Machine Learning; digital literacy,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Akademisches Bloggen,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Anerkennung,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
digital history,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Digital/Computational History; Wandel der geschichtsschreibenden Praktiken; epistemologische Folgen des Einsatzes von Datenbanken,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Inter Annotator Agreement,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
digital heritage,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
memory studies,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Anzeigen,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Zeitung,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Heterogenität,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Deutsche Nationalbibliothek,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
regional,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Textmodellierung,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
agent-based modelling,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Webentwicklung,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Microservices,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
persistente Referenzierung,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Publikationsworkflow,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Delta,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Manuskript,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Datenanreicherung,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Geschlechtertheorie,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
XML/TEI,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Online-Kommentar,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Intercoder-Reliabilität,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
gender studies,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
quantitativ-qualitative Analyse; Methodendiskussion; Korpuslinguistik; TEI-Analyse; Textgliederungsprinzipien,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
TEI-Datenmodell,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Friedensrepräsentationen,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Forschungsprojekte,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Interpretation historischer Quellen,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Politikwissenschaft,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Semantische Wissensmodellierung,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Entzifferung,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Schriftzeichen,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Digitale Epigraphik,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
opinion dynamics,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
diskurs,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
digitale Paläographie,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Kursivschrift,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
DTA,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Katalogdaten,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Digitale Methoden,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Use Case,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Tagger,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Hispanoamerikanischer Roman,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
MFW,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Diagrammatisches Denken,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Diskussion,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
medieval studies,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
community,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Prototypentheorie,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
3D/4D,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Geisteswissenschaften,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Grabungsdatenbank,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Ägypten,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Literarische Gattungen,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Zeichenerkennung,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Argument,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Deliberation,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Diachrone Sprachwissenschaft,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Hieratisch,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
FRBRoo,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Textsammlungen,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Typografie,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
multimodales Retrieval,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Referenzierung,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
DH-Didaktik,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Kompetenzen,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
DH-Fallvignetten,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
DH-Lehre,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
kollektive Kreativität,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
DH-Teams,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Berufsklassifikation,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Entitätserkennung,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Machine-Learning,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Datenextraktion,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Datenethik,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Care-Prinzipien,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Historizität von Daten,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Awareness,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Pandemie,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
KI,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Andreas Gryphius,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
digitales kulturelles Gedächtnis,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Interaktionale Linguistik,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Arbeitsorganisation,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Mittelpersisch,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
OWL DL,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Pahlavi,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Hackathons,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
CATMA,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Gegenwartsliteratur,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Kohäsion,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Parlamentarismus,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Klassische Altertumswissenschaften,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
relationale Daten,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Docker,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Software Deployment,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Virtualization,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
OCR/HTR,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Machine Reasoning,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Alchemie,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Lehrbuch,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Humboldt,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
politische Bildung,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Suchfunktion,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Jupyter Notebook,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Selektion,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Informationsintermediär,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Autonomie,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
DHd-Abstracts,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Taskforce,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Retrieval,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Serien,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Geschichtsvermittlung,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
digitale Erschließung,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
User Stories,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Zugang,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
HNA,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
OMR,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
statistische Analyse,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Segmentierung,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
deutschsprachiche Literatur,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
3D-models,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
3D-rendering,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
knowledge graph,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Kompakkt,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Tokenisierung,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
annotation,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
enrichment,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
TEI/XML,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Kodierungsrichtlinien,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Digitale Geschichte,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Historische Metrologie,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Kompetenzfragen,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Videoannotation,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Domänenadaption,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Tatort,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Emotionserkennung,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Emotionsklassifikation,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Transformer-basierte Modelle,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Computerspiel,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Notensatz,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Open Peer Review,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Open Identities,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Varianten,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Interviewstudie,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Visualisierungsfunktionen,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
japanische visuelle Medien,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Georeferecing,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Gazetteer,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
GOV,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Zeit und Raum,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Ortsverzeichnis,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Identifikation Orte,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Kabbalah,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Benutzerintegration,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Reviewing,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Social Tagging,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
verschiedene frühneuhochdeutsche Textkorpora,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Machine Learning Prediction Modelle,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Anrede,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Book reviews,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Machine learning,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Sentiment analysis,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
theoretical biology,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
topic modelling,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
interactive visualization,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.09
Drupal,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Biographische Daten,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Langzeitverfügbarkeit,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.09
Spatial Humanities,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
close reading,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Projektbeschreibung,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
algorithmische Verfahren,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
interaktive Visualisierung,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Algorithmic Criticism,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
17. Jahrhundert,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Texterfassung,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Ocropus,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Tesseract,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Handlungsempfehlungen,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Entwicklungskapazitäten,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Datensynchronisation,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Rückfluss,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Filmsprache,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Farbanalyse,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Differenzanalyse,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Forschungsfrage,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
TextGrid,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Forschungsumgebund,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Judaica Suchmaschine,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Textsatz;kritische Editionen;Publikation,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Libraries,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
generische Suche,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
distant reading,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Inferences,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Computational Logic,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Klang,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Geowissenschaftliche Analyse,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Deutsche Geschichte,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Automated Toponym Resolution,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Log-Likelihood-Test,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Bar Chart,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Mela Hartwig,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
small data,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
räumliche Kunst,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Semantic annotation,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
digitale Editionen,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Bild,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Knowledge Bases,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Sonifkation,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Virtuelle Frouschungsumgebung,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
digitale Hermeneutik,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.09
